date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2024-02-26,4416.8473,31.028709,224.52232628850106,0.8717948717948718,39,4927.875384615385,192187.14,27,12,2,-0.002505769230769226,2.2499999998125,113.25249487179488,2734.1329652857144,72,Greed,Greed,Feb
2024-02-27,888.511733,0.0,91.69654366328295,0.4727272727272727,63,3323.2111111111108,209362.3,33,30,2,-0.05970807936507937,1.0999999999633334,14.103360841269842,2244.2391324285713,79,Extreme Greed,Greed,Feb
2024-02-28,2503.747235,18.122,130.75309252773027,0.8666666666666667,45,3802.380666666667,171107.13,31,14,1,-0.030603377777777777,2.214285714127551,55.63882744444444,2135.684619714286,82,Extreme Greed,Greed,Feb
2024-02-29,9813.996992,29.654400000000003,149.76818963391887,0.853448275862069,116,3410.9200862068965,395666.73,61,55,2,0.01171625,1.109090909070744,84.60342234482759,3272.141537142857,80,Extreme Greed,Greed,Feb
2024-03-01,8244.241409,27.04384,111.95860869453276,0.9343065693430657,137,3452.370072992701,472974.7,37,100,1,-0.00399163503649635,0.3699999999963,60.176944591240876,3893.5895855714293,80,Extreme Greed,Greed,Mar
2024-03-02,230.90060000000005,1.3124,250.64780257055287,0.6774193548387096,31,2038.6309677419354,63197.56,28,3,2,-0.0151331935483871,9.333333330222223,7.448406451612905,3723.924967,80,Extreme Greed,Greed,Mar
2024-03-03,8361.086245,15.04116,199.82398269178753,0.6835443037974683,79,4946.1478481012655,390745.68,36,43,1,-0.031735481012658225,0.8372093023061115,105.83653474683545,4922.761644857143,83,Extreme Greed,Greed,Mar
2024-03-04,27799.775742,30.85353,152.8211043688667,0.8866666666666667,300,5259.989566666667,1577996.87,161,139,2,-0.0018648299999999998,1.1582733812866313,92.66591914,8263.179993714286,82,Extreme Greed,Greed,Mar
2024-03-05,19791.026041,34.3644515,195.65804028577477,0.9055555555555556,180,4676.724,841810.32,55,125,1,-0.024658105555555556,0.43999999999648,109.95014467222222,10963.53918057143,90,Extreme Greed,Greed,Mar
2024-03-06,6814.825139,27.00537,146.9693030530839,0.8780487804878049,82,3990.4636585365856,327218.02,49,33,1,-0.04091851219512195,1.4848484848034895,83.10762364634145,11579.407452571428,75,Extreme Greed,Greed,Mar
